Calendar,Summary,Start_Date,Start_Time,End_Date,End_Time,UTC_Offset,Recurrence,Recurrence_Interval,Recurrence_Count,Location,Description,Image,Status,URL,Categories
Back Stage,Simple Show ,2019-02-15,19:00:00,2019-02-15,21:00:00,,,,,,,,CONFIRMED,,
Back Stage,Wyatt Stone's Birthday Show w/ Color Tongue & Friends,2019-02-15,21:00:00,2019-02-16,1:00:00,,,,,,"Wyatt Stone's Birthday Show w/ Color Tongue & Friends

Doors at 9. $10",,CONFIRMED,,
Back Stage,Bread is the Brand,2019-02-16,19:00:00,2019-02-16,21:00:00,,,,,,,https://www.facebook.com/events/441809239688306/,CONFIRMED,,
Back Stage,"Primitive Heart Birthday Show w/ Grisette, Johnny Butler, Sweet Tea",2019-02-17,20:00:00,2019-02-18,0:00:00,,,,,,"Primitive Heart, Grisette, Johnny Butler, Sweet Tea<br><br>Doors at 8. $10<br><br>Primitive Heart will be celebrating her birthday at The Footlight in Queens with friends.<br><br>Primitive Heart (Brooklyn)<br>Primitive Heart is a dreamgaze project by Dani Mari. Dani Mari is a multi-genre music producer and visual artist. Audiences across the world have gravitated toward Dani Mari's beautifully haunting voice and simplistic elegant lyrics. Her ethereal vocals ""seemingly casting a spell"" and transport listeners to an era of nostalgia which exists within the depths of her soul. <br><a href=""http://primitiveheartmusic.com/?fbclid=IwAR3bX_5IiU5ChMW-yHWNLGfFIJxYUzYQDB-AXv0lcnlHWTGWhPYhd1Dd-kE"">primitiveheartmusic.com</a><br><br>Grisette (Philly)<br>Grisette is a goddamn rock and roll band.<br><a href=""http://grisetteband.bandcamp.com/?fbclid=IwAR1giilP6RVxGr4bZ1Ia44-JT1PqqvUHkHr78K6I5nEdiVVMbRikWVgLaCg"">grisetteband.bandcamp.com</a><br><br>Johnny Butler (Brooklyn) performing with dancer Nicole von Arx <br>...Brooklyn-based Johnny Butler turns a polyphony of overdubbed horns (triggered by laptop) into Fritz Lang’s Metropolis machine. — DownBeat Magazine<br><a href=""http://johnnybutler.com/?fbclid=IwAR2k3KxW2l0ZXW_W7eIDthcwWuIBfeHhb_RaEXkrrZYftE0mT1TwI_xlp1A"">johnnybutler.com</a><br><br>Sweet Tea (Brooklyn)<br><br>",https://thefootlightbar.github.io/static/images/2019-02.primitive-heart-birthday-show.jpg,CONFIRMED,https://www.facebook.com/events/1886370554818858/,
Back Stage,Whose Mike is it Anyway?,2019-02-18,20:30:00,2019-02-18,23:00:00,,,,,,,,CONFIRMED,,
Back Stage,Le Noize Karaoke,2019-02-18,23:00:00,2019-02-19,2:00:00,,,,,,,,CONFIRMED,,
Back Stage,Sweetie Pies,2019-02-19,19:00:00,2019-02-19,21:00:00,,,,,,,,CONFIRMED,https://www.facebook.com/events/369957877124153/,
Back Stage,Midriff Comedy,2019-02-19,21:00:00,2019-02-19,23:00:00,,,,,,,,CONFIRMED,,
Back Stage,"Woodhead, Solid Goold, Otro Lado, Mezzanine Swimmers",2019-02-21,20:00:00,2019-02-22,0:00:00,,,,,,"Woodhead, Solid Goold, Otro Lado, Mezzanine Swimmers

Doors at 8. $10",https://thefootlightbar.github.io/static/images/2019-02.woodhead-solid-goold-otro-lado-mezzanine-swimmers.jpg,CONFIRMED,,
Back Stage,"Calor, Dead Empires, Deeply Woven, Fall of the Albatross",2019-02-22,21:00:00,2019-02-23,1:00:00,,,,,,"Calor, Dead Empires, Deeply Woven, Fall Of The Albatross

Doors at 9. $10

https://www.facebook.com/calorband/
https://www.facebook.com/fallofthealbatross/
https://www.facebook.com/DeeplyWoven/
https://www.facebook.com/deadempires/",https://thefootlightbar.github.io/static/images/2019-02.calor-dead-empires-deeply-woven-fall-of-the-albatross.jpg,CONFIRMED,https://www.facebook.com/events/1149156921916458/,
Back Stage,Mark Miller Variety Show,2019-02-23,19:00:00,2019-02-23,21:00:00,,,,,,,,CONFIRMED,,
Back Stage,Alice Limoges/Noelle Tannen Birthday Show ft. Lo Jones + Gabby Z,2019-02-23,21:00:00,2019-02-24,1:00:00,,,,,,"Alice Limoges, Noelle Tannen, Gabby Z, Lo Jones

Doors at 9. $10 presale $15 at the door.",https://thefootlightbar.github.io/static/images/2019-02.alice-limoges-noelle-tannen-gabby-z-lo-jones.jpg,CONFIRMED,https://www.facebook.com/events/529924007431181/,
Back Stage,"So Sensitive, Pom Pom Squad, Pecas, Your Dream Coat",2019-02-24,20:00:00,2019-02-25,0:00:00,,,,,,"So Sensitive, Pom Pom Squad, Pecas, Your Dream Coat

Doors at 8. $10",https://thefootlightbar.github.io/static/images/2_24%20SUN%208-12.jpg,CONFIRMED,https://www.facebook.com/events/254717165424404/,
Back Stage,Whose Mike is it Anyway?,2019-02-25,20:30:00,2019-02-25,23:00:00,,,,,,,,CONFIRMED,,
Back Stage,Le Noize Karaoke,2019-02-25,23:00:00,2019-02-26,2:00:00,,,,,,,,CONFIRMED,,
Back Stage,Queens County Royal Court Cabaret,2019-02-26,20:00:00,2019-02-26,23:00:00,,,,,,,,CONFIRMED,,
Back Stage,"Toobin, Double Cuff, Sipper, Goodie",2019-02-27,20:00:00,2019-02-28,0:00:00,,,,,,"Toobin, Double Cuff, Sipper, Goodie


Doors at 8. $10",,CONFIRMED,,
Back Stage,"I am The Polish Army, A Place Both Wonderful & Strange, Vestments, The Mary Vision",2019-02-28,20:00:00,2019-03-01,0:00:00,,,,,,"I am The Polish Army, A Place Both Wonderful & Strange, Vestments, The Mary Vision


Doors at 8. $10",,CONFIRMED,,
Back Stage,"Blue Spruce, Dinowalrus, More Than Skies",2019-03-01,21:00:00,2019-03-02,1:00:00,,,,,,"Blue Spruce, Dinowalrus, More Than Skies<br><br>Doors at 9. $10<br><br>",https://thefootlightbar.github.io/static/images/3_1%20FRI%209-1.jpg,CONFIRMED,https://www.facebook.com/events/366974907429174/,
Back Stage,"Van Goose, Shybay, Data Security, TBA",2019-03-02,21:00:00,2019-03-03,1:00:00,,,,,,"Van Goose, Shybay, Data Security, TBA<br><br><br>Doors at 9. $10<br><br>",https://thefootlightbar.github.io/static/images/3-2%20SAT%209-1.png,CONFIRMED,https://www.facebook.com/events/644109702712390/,
Back Stage,"Strange Loops, Conor James, Holly Overton, TBA",2019-03-03,20:00:00,2019-03-04,0:00:00,,,,,,"Strange Loops, Conor James, Holly Overton, TBA


Doors at 8. $10",,CONFIRMED,,
Back Stage,Whose Mike is it Anyway?,2019-03-04,20:30:00,2019-03-04,23:00:00,,,,,,,,CONFIRMED,,
Back Stage,Le Noize Karaoke,2019-03-04,23:00:00,2019-03-05,2:00:00,,,,,,,,CONFIRMED,,
Back Stage,Hex90::init(),2019-03-10,21:00:00,2019-03-11,2:00:00,,,,,,"A queer hacker salon in NYC.

Features:

• Livecoding
• Photobooth
• Indie games by Death by Audio
• NES games
• Music
• Visuals
• Local chatrooms
• Surprise guest project

Hex90::init()

03.10.2019 @ The Footlight
465 Seneca Avenue
Ridgewood, NY 11385
9pm – 2am

• This venue is accessible.
• This venue has gender-neutral restrooms.

Dressing up is encouraged but not required.

Cover: $5.00


This space is not exclusionary, but it is an intentionally queer space. Consent and respect are not optional! Anyone being disrespectful will be removed immediately. We are against technocapitalist motives. We are a space for queer hackers, not for Silicon Valley fans. Don't piss off the hackers. ;)",https://thefootlightbar.github.io/static/images/2019-03.hex90-init.png,CONFIRMED,,
Back Stage,Whose Mike is it Anyway?,2019-03-11,20:30:00,2019-03-11,23:00:00,,,,,,,,CONFIRMED,,
Back Stage,Le Noize Karaoke,2019-03-11,23:00:00,2019-03-12,2:00:00,,,,,,,,CONFIRMED,,
Back Stage,Whose Mike is it Anyway?,2019-03-18,20:30:00,2019-03-18,23:00:00,,,,,,,,CONFIRMED,,
Back Stage,Le Noize Karaoke,2019-03-18,23:00:00,2019-03-19,2:00:00,,,,,,,,CONFIRMED,,
Back Stage,Whose Mike is it Anyway?,2019-03-25,20:30:00,2019-03-25,23:00:00,,,,,,,,CONFIRMED,,
Back Stage,Le Noize Karaoke,2019-03-25,23:00:00,2019-03-26,2:00:00,,,,,,,,CONFIRMED,,
Back Stage,Whose Mike is it Anyway?,2019-04-01,20:30:00,2019-04-01,23:00:00,,,,,,,,CONFIRMED,,
Back Stage,Le Noize Karaoke,2019-04-01,23:00:00,2019-04-02,2:00:00,,,,,,,,CONFIRMED,,
Back Stage,Whose Mike is it Anyway?,2019-04-08,20:30:00,2019-04-08,23:00:00,,,,,,,,CONFIRMED,,
Back Stage,Le Noize Karaoke,2019-04-08,23:00:00,2019-04-09,2:00:00,,,,,,,,CONFIRMED,,
Back Stage,Whose Mike is it Anyway?,2019-04-15,20:30:00,2019-04-15,23:00:00,,,,,,,,CONFIRMED,,
Back Stage,Le Noize Karaoke,2019-04-15,23:00:00,2019-04-16,2:00:00,,,,,,,,CONFIRMED,,
Back Stage,Whose Mike is it Anyway?,2019-04-22,20:30:00,2019-04-22,23:00:00,,,,,,,,CONFIRMED,,
Back Stage,Le Noize Karaoke,2019-04-22,23:00:00,2019-04-23,2:00:00,,,,,,,,CONFIRMED,,
